2012-06-04 00:00:00.0000000,2012-06-04,20120604000000,20120604,2012,02,06,23,2012,00,04,00,00,00,20122,201206,201223,2012,2,6,23,2012,0,4,0,0,0
2012-06-05 00:00:00.0000000,2012-06-05,20120605000000,20120605,2012,02,06,23,2012,01,05,00,00,00,20122,201206,201223,2012,2,6,23,2012,1,5,0,0,0
2012-06-06 00:00:00.0000000,2012-06-06,20120606000000,20120606,2012,02,06,23,2012,02,06,00,00,00,20122,201206,201223,2012,2,6,23,2012,2,6,0,0,0
2012-06-07 00:00:00.0000000,2012-06-07,20120607000000,20120607,2012,02,06,23,2012,03,07,00,00,00,20122,201206,201223,2012,2,6,23,2012,3,7,0,0,0
2012-06-08 00:00:00.0000000,2012-06-08,20120608000000,20120608,2012,02,06,23,2012,04,08,00,00,00,20122,201206,201223,2012,2,6,23,2012,4,8,0,0,0
2012-06-09 00:00:00.0000000,2012-06-09,20120609000000,20120609,2012,02,06,23,2012,05,09,00,00,00,20122,201206,201223,2012,2,6,23,2012,5,9,0,0,0
2012-06-10 00:00:00.0000000,2012-06-10,20120610000000,20120610,2012,02,06,23,2012,06,10,00,00,00,20122,201206,201223,2012,2,6,23,2012,6,10,0,0,0
2012-06-11 00:00:00.0000000,2012-06-11,20120611000000,20120611,2012,02,06,24,2012,00,11,00,00,00,20122,201206,201224,2012,2,6,24,2012,0,11,0,0,0
2012-06-12 00:00:00.0000000,2012-06-12,20120612000000,20120612,2012,02,06,24,2012,01,12,00,00,00,20122,201206,201224,2012,2,6,24,2012,1,12,0,0,0
2012-06-13 00:00:00.0000000,2012-06-13,20120613000000,20120613,2012,02,06,24,2012,02,13,00,00,00,20122,201206,201224,2012,2,6,24,2012,2,13,0,0,0
2012-06-14 00:00:00.0000000,2012-06-14,20120614000000,20120614,2012,02,06,24,2012,03,14,00,00,00,20122,201206,201224,2012,2,6,24,2012,3,14,0,0,0
2012-06-15 00:00:00.0000000,2012-06-15,20120615000000,20120615,2012,02,06,24,2012,04,15,00,00,00,20122,201206,201224,2012,2,6,24,2012,4,15,0,0,0
2012-06-16 00:00:00.0000000,2012-06-16,20120616000000,20120616,2012,02,06,24,2012,05,16,00,00,00,20122,201206,201224,2012,2,6,24,2012,5,16,0,0,0
2012-06-17 00:00:00.0000000,2012-06-17,20120617000000,20120617,2012,02,06,24,2012,06,17,00,00,00,20122,201206,201224,2012,2,6,24,2012,6,17,0,0,0
2012-06-18 00:00:00.0000000,2012-06-18,20120618000000,20120618,2012,02,06,25,2012,00,18,00,00,00,20122,201206,201225,2012,2,6,25,2012,0,18,0,0,0
2012-06-19 00:00:00.0000000,2012-06-19,20120619000000,20120619,2012,02,06,25,2012,01,19,00,00,00,20122,201206,201225,2012,2,6,25,2012,1,19,0,0,0
2012-06-20 00:00:00.0000000,2012-06-20,20120620000000,20120620,2012,02,06,25,2012,02,20,00,00,00,20122,201206,201225,2012,2,6,25,2012,2,20,0,0,0
2012-06-21 00:00:00.0000000,2012-06-21,20120621000000,20120621,2012,02,06,25,2012,03,21,00,00,00,20122,201206,201225,2012,2,6,25,2012,3,21,0,0,0
2012-06-22 00:00:00.0000000,2012-06-22,20120622000000,20120622,2012,02,06,25,2012,04,22,00,00,00,20122,201206,201225,2012,2,6,25,2012,4,22,0,0,0
2012-06-23 00:00:00.0000000,2012-06-23,20120623000000,20120623,2012,02,06,25,2012,05,23,00,00,00,20122,201206,201225,2012,2,6,25,2012,5,23,0,0,0
2012-06-24 00:00:00.0000000,2012-06-24,20120624000000,20120624,2012,02,06,25,2012,06,24,00,00,00,20122,201206,201225,2012,2,6,25,2012,6,24,0,0,0
2012-06-25 00:00:00.0000000,2012-06-25,20120625000000,20120625,2012,02,06,26,2012,00,25,00,00,00,20122,201206,201226,2012,2,6,26,2012,0,25,0,0,0
2012-06-26 00:00:00.0000000,2012-06-26,20120626000000,20120626,2012,02,06,26,2012,01,26,00,00,00,20122,201206,201226,2012,2,6,26,2012,1,26,0,0,0
2012-06-27 00:00:00.0000000,2012-06-27,20120627000000,20120627,2012,02,06,26,2012,02,27,00,00,00,20122,201206,201226,2012,2,6,26,2012,2,27,0,0,0
2012-06-28 00:00:00.0000000,2012-06-28,20120628000000,20120628,2012,02,06,26,2012,03,28,00,00,00,20122,201206,201226,2012,2,6,26,2012,3,28,0,0,0
2012-06-29 00:00:00.0000000,2012-06-29,20120629000000,20120629,2012,02,06,26,2012,04,29,00,00,00,20122,201206,201226,2012,2,6,26,2012,4,29,0,0,0
2012-06-30 00:00:00.0000000,2012-06-30,20120630000000,20120630,2012,02,06,26,2012,05,30,00,00,00,20122,201206,201226,2012,2,6,26,2012,5,30,0,0,0
2012-07-01 00:00:00.0000000,2012-07-01,20120701000000,20120701,2012,03,07,26,2012,06,01,00,00,00,20123,201207,201226,2012,3,7,26,2012,6,1,0,0,0
2012-07-02 00:00:00.0000000,2012-07-02,20120702000000,20120702,2012,03,07,27,2012,00,02,00,00,00,20123,201207,201227,2012,3,7,27,2012,0,2,0,0,0
